experiment,group,PID,cued,response,Hits,Total,Present,Selected,Misses,FalseAlarms,CorrectRejections,Recall,Precision,F1,F1chance
felt touch,Control,sub01,love,love,9,60,10,12,1,3,47,0.9,0.75,0.8181818181818182,0.2857142857142857
felt touch,Control,sub01,sadness,sadness,0,60,10,8,10,8,42,0,0,0,0.2857142857142857
felt touch,Control,sub02,attention,attention,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,Control,sub02,calming,calming,9,60,10,12,1,3,47,0.9,0.75,0.8181818181818182,0.2857142857142857
felt touch,Control,sub02,gratitude,gratitude,2,60,10,7,8,5,45,0.2,0.2857142857142857,0.23529411764705882,0.2857142857142857
felt touch,Control,sub02,happiness,happiness,0,60,10,4,10,4,46,0,0,0,0.2857142857142857
felt touch,Control,sub02,love,love,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,Control,sub02,sadness,sadness,3,60,10,6,7,3,47,0.3,0.5,0.37499999999999994,0.2857142857142857
felt touch,Control,sub03,attention,attention,10,60,10,20,0,10,40,1,0.5,0.6666666666666666,0.2857142857142857
felt touch,Control,sub03,calming,calming,10,60,10,20,0,10,40,1,0.5,0.6666666666666666,0.2857142857142857
felt touch,Control,sub03,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,Control,sub03,happiness,happiness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,Control,sub03,love,love,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,Control,sub03,sadness,sadness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,Control,sub04,attention,attention,10,60,10,19,0,9,41,1,0.5263157894736842,0.6896551724137931,0.2857142857142857
felt touch,Control,sub04,calming,calming,5,60,10,14,5,9,41,0.5,0.35714285714285715,0.41666666666666663,0.2857142857142857
felt touch,Control,sub04,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,Control,sub04,happiness,happiness,9,60,10,9,1,0,50,0.9,1,0.9473684210526316,0.2857142857142857
felt touch,Control,sub04,love,love,10,60,10,16,0,6,44,1,0.625,0.7692307692307693,0.2857142857142857
felt touch,Control,sub04,sadness,sadness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,Control,sub05,attention,attention,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,Control,sub05,calming,calming,1,60,10,7,9,6,44,0.1,0.14285714285714285,0.11764705882352941,0.2857142857142857
felt touch,Control,sub05,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,Control,sub05,happiness,happiness,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,Control,sub05,love,love,10,60,10,22,0,12,38,1,0.45454545454545453,0.625,0.2857142857142857
felt touch,Control,sub05,sadness,sadness,8,60,10,12,2,4,46,0.8,0.6666666666666666,0.7272727272727272,0.2857142857142857
felt touch,Control,sub06,attention,attention,9,60,10,10,1,1,49,0.9,0.9,0.9,0.2857142857142857
felt touch,Control,sub06,calming,calming,10,60,10,18,0,8,42,1,0.5555555555555556,0.7142857142857143,0.2857142857142857
