experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd04,ASD,3,forced choice,60,calming,calming
felt touch,asd05,ASD,3,forced choice,1,love,love
felt touch,asd05,ASD,3,forced choice,2,happiness,other
felt touch,asd05,ASD,3,forced choice,3,attention,attention
felt touch,asd05,ASD,3,forced choice,4,calming,calming
felt touch,asd05,ASD,3,forced choice,5,gratitude,other
felt touch,asd05,ASD,3,forced choice,6,sadness,calming
felt touch,asd05,ASD,3,forced choice,7,happiness,happiness
felt touch,asd05,ASD,3,forced choice,8,gratitude,other
felt touch,asd05,ASD,3,forced choice,9,attention,attention
felt touch,asd05,ASD,3,forced choice,10,sadness,sadness
felt touch,asd05,ASD,3,forced choice,11,love,love
felt touch,asd05,ASD,3,forced choice,12,calming,other
felt touch,asd05,ASD,3,forced choice,13,love,love
felt touch,asd05,ASD,3,forced choice,14,gratitude,other
felt touch,asd05,ASD,3,forced choice,15,attention,other
felt touch,asd05,ASD,3,forced choice,16,sadness,other
felt touch,asd05,ASD,3,forced choice,17,happiness,other
felt touch,asd05,ASD,3,forced choice,18,calming,calming
felt touch,asd05,ASD,3,forced choice,19,gratitude,other
felt touch,asd05,ASD,3,forced choice,20,attention,attention
felt touch,asd05,ASD,3,forced choice,21,happiness,other
felt touch,asd05,ASD,3,forced choice,22,sadness,calming
felt touch,asd05,ASD,3,forced choice,23,calming,calming
felt touch,asd05,ASD,3,forced choice,24,love,other
felt touch,asd05,ASD,3,forced choice,25,sadness,calming
felt touch,asd05,ASD,3,forced choice,26,attention,attention
felt touch,asd05,ASD,3,forced choice,27,love,love
felt touch,asd05,ASD,3,forced choice,28,happiness,other
felt touch,asd05,ASD,3,forced choice,29,calming,other
felt touch,asd05,ASD,3,forced choice,30,gratitude,other
felt touch,asd05,ASD,3,forced choice,31,love,love
felt touch,asd05,ASD,3,forced choice,32,sadness,sadness
felt touch,asd05,ASD,3,forced choice,33,gratitude,other
felt touch,asd05,ASD,3,forced choice,34,calming,calming
felt touch,asd05,ASD,3,forced choice,35,happiness,other
felt touch,asd05,ASD,3,forced choice,36,attention,attention
felt touch,asd05,ASD,3,forced choice,37,sadness,other
felt touch,asd05,ASD,3,forced choice,38,happiness,other
felt touch,asd05,ASD,3,forced choice,39,gratitude,other
felt touch,asd05,ASD,3,forced choice,40,love,love
felt touch,asd05,ASD,3,forced choice,41,attention,attention
felt touch,asd05,ASD,3,forced choice,42,calming,calming
felt touch,asd05,ASD,3,forced choice,43,gratitude,other
felt touch,asd05,ASD,3,forced choice,44,sadness,other
felt touch,asd05,ASD,3,forced choice,45,attention,attention
felt touch,asd05,ASD,3,forced choice,46,happiness,other
felt touch,asd05,ASD,3,forced choice,47,calming,calming
felt touch,asd05,ASD,3,forced choice,48,love,love
felt touch,asd05,ASD,3,forced choice,49,sadness,other
felt touch,asd05,ASD,3,forced choice,50,gratitude,other
felt touch,asd05,ASD,3,forced choice,51,happiness,other
felt touch,asd05,ASD,3,forced choice,52,attention,attention
felt touch,asd05,ASD,3,forced choice,53,calming,calming
felt touch,asd05,ASD,3,forced choice,54,love,love
felt touch,asd05,ASD,3,forced choice,55,happiness,other
felt touch,asd05,ASD,3,forced choice,56,gratitude,other
felt touch,asd05,ASD,3,forced choice,57,calming,other
felt touch,asd05,ASD,3,forced choice,58,love,love
felt touch,asd05,ASD,3,forced choice,59,sadness,other
felt touch,asd05,ASD,3,forced choice,60,attention,attention
felt touch,asd06,ASD,3,forced choice,1,gratitude,attention
felt touch,asd06,ASD,3,forced choice,2,sadness,calming
felt touch,asd06,ASD,3,forced choice,3,attention,attention
felt touch,asd06,ASD,3,forced choice,4,calming,calming
felt touch,asd06,ASD,3,forced choice,5,happiness,other
felt touch,asd06,ASD,3,forced choice,6,love,love
felt touch,asd06,ASD,3,forced choice,7,calming,calming
felt touch,asd06,ASD,3,forced choice,8,happiness,other
felt touch,asd06,ASD,3,forced choice,9,love,love
felt touch,asd06,ASD,3,forced choice,10,gratitude,happiness
felt touch,asd06,ASD,3,forced choice,11,attention,attention
felt touch,asd06,ASD,3,forced choice,12,sadness,sadness
felt touch,asd06,ASD,3,forced choice,13,love,love
felt touch,asd06,ASD,3,forced choice,14,calming,calming
felt touch,asd06,ASD,3,forced choice,15,happiness,other
felt touch,asd06,ASD,3,forced choice,16,attention,attention
felt touch,asd06,ASD,3,forced choice,17,sadness,gratitude
felt touch,asd06,ASD,3,forced choice,18,gratitude,happiness
felt touch,asd06,ASD,3,forced choice,19,happiness,other
felt touch,asd06,ASD,3,forced choice,20,sadness,sadness
felt touch,asd06,ASD,3,forced choice,21,attention,attention
felt touch,asd06,ASD,3,forced choice,22,calming,calming
felt touch,asd06,ASD,3,forced choice,23,love,love
felt touch,asd06,ASD,3,forced choice,24,gratitude,happiness
felt touch,asd06,ASD,3,forced choice,25,happiness,other
felt touch,asd06,ASD,3,forced choice,26,love,love
felt touch,asd06,ASD,3,forced choice,27,calming,calming
felt touch,asd06,ASD,3,forced choice,28,attention,attention
felt touch,asd06,ASD,3,forced choice,29,gratitude,gratitude
felt touch,asd06,ASD,3,forced choice,30,sadness,gratitude
felt touch,asd06,ASD,3,forced choice,31,sadness,calming
felt touch,asd06,ASD,3,forced choice,32,gratitude,happiness
felt touch,asd06,ASD,3,forced choice,33,love,love
felt touch,asd06,ASD,3,forced choice,34,attention,attention
felt touch,asd06,ASD,3,forced choice,35,happiness,other
felt touch,asd06,ASD,3,forced choice,36,calming,calming
felt touch,asd06,ASD,3,forced choice,37,sadness,sadness
felt touch,asd06,ASD,3,forced choice,38,happiness,other
felt touch,asd06,ASD,3,forced choice,39,calming,love
felt touch,asd06,ASD,3,forced choice,40,attention,attention
felt touch,asd06,ASD,3,forced choice,41,love,love
felt touch,asd06,ASD,3,forced choice,42,gratitude,happiness
felt touch,asd06,ASD,3,forced choice,43,attention,attention
felt touch,asd06,ASD,3,forced choice,44,gratitude,gratitude
felt touch,asd06,ASD,3,forced choice,45,happiness,other
felt touch,asd06,ASD,3,forced choice,46,sadness,calming
felt touch,asd06,ASD,3,forced choice,47,love,love
felt touch,asd06,ASD,3,forced choice,48,calming,calming
felt touch,asd06,ASD,3,forced choice,49,attention,attention
felt touch,asd06,ASD,3,forced choice,50,sadness,sadness
felt touch,asd06,ASD,3,forced choice,51,gratitude,happiness
felt touch,asd06,ASD,3,forced choice,52,happiness,other
felt touch,asd06,ASD,3,forced choice,53,calming,love
