experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,sub33,Control,1,forced choice,1,calming,7.399999999999999
felt touch,sub33,Control,1,forced choice,2,gratitude,7
felt touch,sub33,Control,1,forced choice,3,happiness,6.600000000000001
felt touch,sub33,Control,1,forced choice,4,love,10
felt touch,sub33,Control,1,forced choice,5,attention,6.600000000000001
felt touch,sub33,Control,1,forced choice,6,sadness,9.9
felt touch,sub34,Control,1,forced choice,1,happiness,4.300000000000001
felt touch,sub34,Control,1,forced choice,2,calming,7.300000000000001
felt touch,sub34,Control,1,forced choice,3,sadness,6.699999999999999
felt touch,sub34,Control,1,forced choice,4,gratitude,-0.3000000000000007
felt touch,sub34,Control,1,forced choice,5,attention,-4.5
felt touch,sub34,Control,1,forced choice,6,love,8.7
felt touch,sub35,Control,1,forced choice,1,happiness,9.9
felt touch,sub35,Control,1,forced choice,2,sadness,7.399999999999999
felt touch,sub35,Control,1,forced choice,3,calming,5.9
felt touch,sub35,Control,1,forced choice,4,gratitude,8.399999999999999
felt touch,sub35,Control,1,forced choice,5,attention,7.5
felt touch,sub35,Control,1,forced choice,6,love,-3.3
viewed touch,R_24N4TAb1v84O4mJ,Control,3,forced choice,1,attention,0.1999999999999993
viewed touch,R_24N4TAb1v84O4mJ,Control,3,forced choice,3,calming,8.8
viewed touch,R_24N4TAb1v84O4mJ,Control,3,forced choice,2,gratitude,3.4000000000000004
viewed touch,R_24N4TAb1v84O4mJ,Control,3,forced choice,6,happiness,2.4000000000000004
viewed touch,R_24N4TAb1v84O4mJ,Control,3,forced choice,4,love,10
viewed touch,R_24N4TAb1v84O4mJ,Control,3,forced choice,5,sadness,6.600000000000001
viewed touch,R_agEidu5kKdBHXzP,Control,3,forced choice,5,attention,0.5999999999999996
viewed touch,R_agEidu5kKdBHXzP,Control,3,forced choice,1,calming,1.4000000000000004
viewed touch,R_agEidu5kKdBHXzP,Control,3,forced choice,2,gratitude,0.40000000000000036
viewed touch,R_agEidu5kKdBHXzP,Control,3,forced choice,4,happiness,0.8000000000000007
viewed touch,R_agEidu5kKdBHXzP,Control,3,forced choice,3,love,9.2
viewed touch,R_agEidu5kKdBHXzP,Control,3,forced choice,6,sadness,6.600000000000001
viewed touch,R_2e43td9W8t8Phxo,Control,3,free text,1,attention,0.8000000000000007
viewed touch,R_2e43td9W8t8Phxo,Control,3,free text,3,calming,-3.2
viewed touch,R_2e43td9W8t8Phxo,Control,3,free text,4,gratitude,-3.4000000000000004
viewed touch,R_2e43td9W8t8Phxo,Control,3,free text,2,happiness,-8
viewed touch,R_2e43td9W8t8Phxo,Control,3,free text,6,love,2.8000000000000007
viewed touch,R_2e43td9W8t8Phxo,Control,3,free text,5,sadness,1.5999999999999996
viewed touch,R_1q8J7FX32lAGeVQ,Control,3,forced choice,4,attention,-2.5999999999999996
viewed touch,R_1q8J7FX32lAGeVQ,Control,3,forced choice,6,calming,5.4
viewed touch,R_1q8J7FX32lAGeVQ,Control,3,forced choice,3,gratitude,1.1999999999999993
viewed touch,R_1q8J7FX32lAGeVQ,Control,3,forced choice,5,happiness,0.5999999999999996
viewed touch,R_1q8J7FX32lAGeVQ,Control,3,forced choice,2,love,7.199999999999999
viewed touch,R_1q8J7FX32lAGeVQ,Control,3,forced choice,1,sadness,3.8000000000000007
viewed touch,R_1IosNgyTq608wYm,Control,3,free text,1,attention,-3.8
viewed touch,R_1IosNgyTq608wYm,Control,3,free text,6,calming,0.8000000000000007
viewed touch,R_1IosNgyTq608wYm,Control,3,free text,4,gratitude,1.8000000000000007
viewed touch,R_1IosNgyTq608wYm,Control,3,free text,5,happiness,-3
viewed touch,R_1IosNgyTq608wYm,Control,3,free text,2,love,5.800000000000001
